"Profile_ID","Age","Gender","Role","Seniority_Level","Company_Name","Company_Size_Employees","Industry","Location_City","Business_Interests","Business_Objectives","Constraints"
"5017","36","Male","Sales Executive","Mid","OpenAI","972","E-commerce","Dubai","Open Source;Data Science","Networking with industry peers;Looking for internship opportunities;Learning about industry trends","Looking for revenue-facing roles only;Not interested in early unpaid opportunities"
"5018","30","Female","Marketing Manager","Mid","TikTok","33","Media","New York","AI;Sales;Data Science","Looking for internship opportunities","Prefer B2C or high-growth startups;Not looking for pure content-only positions"
"5019","42","Male","Software Engineer","Senior","Spotify","960","Supply Chain","Paris","AI;Venture Capital;Product Management","Hiring for current or future roles","Not looking for sales or marketing opportunities"
"5020","20","Female","Co-Founder","Junior","Accenture","5","EdTech","Berlin","Startup Ecosystem;SaaS;Marketing;Open Source","Mentorship and guidance;Exploring partnerships or collaborations;Learning about industry trends","Prefer long-term collaboration opportunities;Exploring complementary skillset co-founders"
"5021","56","Female","Business Analyst","Executive","Stripe","829","Media","San Francisco","Startup Ecosystem;Content Creation","Networking with industry peers","Prefer data-driven organizations"
"5022","18","Non-binary","Student","Executive","Zomato","","Media","Bangalore","Marketing;Data Science;Venture Capital","Hiring for current or future roles","Prefer learning-focused conversations;Looking only for internships or entry-level roles"
"5023","24","Non-binary","Founder","Executive","Uber","17055","Media","San Francisco","Startup Ecosystem;Marketing;SaaS","Looking for internship opportunities;Understanding investor expectations;Mentorship and guidance","Prefer discussions with decision-makers only;Looking to connect with experienced operators or advisors"
"5024","29","Non-binary","HR Manager","Junior","Deloitte","899","FinTech","Singapore","Product Management;Marketing","Hiring for current or future roles;Understanding investor expectations;Learning about industry trends","Prefer companies with growing teams"
"5025","23","Male","Investment Analyst","Mid","Meta","262","Media","London","Venture Capital;Open Source","Hiring for current or future roles;Building professional visibility","Interested only in scalable, venture-backable startups"
"5026","45","Female","Co-Founder","Junior","Adobe","277","FinTech","Sydney","Marketing;AI;Corporate Innovation","Networking with industry peers;Hiring for current or future roles","Exploring complementary skillset co-founders;Prefer long-term collaboration opportunities"
"5027","44","Male","Student","Mid","TCS","","HealthTech","Sydney","Data Science;Startup Ecosystem;Open Source","Career transition planning","Not interested in full-time senior positions;Prefer learning-focused conversations"
"5028","45","Male","CTO","Mid","Databricks","100001","FinTech","Toronto","Marketing;Product Management;Sales;Venture Capital","Career transition planning;Looking for internship opportunities","Interested in technical leadership discussions"
"5029","44","Non-binary","Data Scientist","Executive","Google","44","HealthTech","Toronto","AI;Corporate Innovation;Data Science;SaaS","Hiring for current or future roles;Looking for internship opportunities;Understanding investor expectations","Interested only in data-driven or AI-focused teams;Prefer teams working with real-world production data"
"5030","42","Female","Software Engineer","","SAP","957","E-commerce","Paris","Sales;Data Science","Networking with industry peers","Not looking for sales or marketing opportunities;Only interested in technical discussions or engineering roles"
"5031","46","Female","Sales Executive","Junior","KPMG","664","AI","Bangalore","AI;SaaS;Data Science;Content Creation","Exploring freelance or contract work;Exploring new job opportunities;Networking with industry peers","Not interested in early unpaid opportunities"
"5032","37","Male","Founder","Senior","IBM","39","SaaS","Berlin","Product Management;Corporate Innovation;SaaS","Hiring for current or future roles;Exploring freelance or contract work;Career transition planning","Not interested in service or agency partnerships"
"5033","44","Non-binary","Investment Analyst","Senior","TikTok","41","Supply Chain","Berlin","Open Source;Content Creation;Corporate Innovation;Sales","Networking with industry peers;Building professional visibility","Not evaluating service-based businesses;Interested only in scalable, venture-backable startups"
"5034","39","Male","Marketing Manager","Junior","Tokopedia","22313","Climate Tech","Toronto","Marketing;Data Science;AI","Looking for internship opportunities;Building professional visibility;Networking with industry peers","Not looking for pure content-only positions"
"5035","55","Female","Business Analyst","Junior","Bain","11","EdTech","Dubai","Data Science;Startup Ecosystem;SaaS;Content Creation","Learning about industry trends;Understanding investor expectations","Prefer data-driven organizations;Interested in strategy, analytics, or ops roles"
"5036","30","Male","Founder","Junior","Intel","79","FinTech","Toronto","Content Creation;Corporate Innovation","Looking for internship opportunities;Seeking startup or founder connections","Not interested in service or agency partnerships;Prefer discussions with decision-makers only"
"5037","36","Female","Consultant","Mid","Netflix","957","Climate Tech","Singapore","Data Science;Corporate Innovation","Mentorship and guidance;Networking with industry peers;Seeking startup or founder connections","Prefer strategy or transformation work"
"5038","44","Non-binary","Product Manager","","OpenAI","346","E-commerce","New York","Sales;Venture Capital","Building professional visibility","Looking for product-led organizations;Not interested in purely sales-driven roles"
"5039","42","Non-binary","Product Manager","","Wipro","381","FinTech","Toronto","Startup Ecosystem","Understanding investor expectations","Prefer companies with clear product ownership;Looking for product-led organizations"
"5040","34","Non-binary","Business Analyst","","Atlassian","82","HealthTech","London","Marketing;Sales;Corporate Innovation;AI","Building professional visibility;Mentorship and guidance;Career transition planning","Interested in strategy, analytics, or ops roles"
"5041","31","Female","Sales Executive","Mid","Razorpay","8","SaaS","Sydney","Venture Capital;Content Creation","Exploring new job opportunities;Exploring freelance or contract work","Looking for revenue-facing roles only"
"5042","36","Male","Content Creator","Junior","TikTok","485","Climate Tech","Sydney","AI","Exploring new job opportunities","Looking for brand collaborations or creator partnerships"
"5043","58","Non-binary","Product Manager","","EY","75720","AI","Singapore","Open Source;Content Creation","Exploring partnerships or collaborations","Prefer companies with clear product ownership;Not interested in purely sales-driven roles"
"5044","25","Female","HR Manager","Senior","Salesforce","751","SaaS","Bangalore","Marketing;Venture Capital","Building professional visibility;Learning about industry trends","Prefer companies with growing teams"
"5045","32","Male","Business Analyst","Junior","Oracle","134","E-commerce","Toronto","SaaS;Venture Capital;Product Management","Learning about industry trends;Building professional visibility","Interested in strategy, analytics, or ops roles;Not looking for hardcore sales positions"
"5046","31","Non-binary","Content Creator","Senior","Microsoft","48268","Supply Chain","New York","Startup Ecosystem","Understanding investor expectations;Career transition planning;Building professional visibility","Looking for brand collaborations or creator partnerships;Not interested in full-time corporate roles"
"5047","33","Non-binary","Sales Executive","Junior","Microsoft","97030","SaaS","Dubai","Product Management","Exploring partnerships or collaborations","Prefer companies with established products"
"5048","26","Non-binary","Sales Executive","","EY","593","E-commerce","London","Product Management","Hiring for current or future roles;Career transition planning;Understanding investor expectations","Looking for revenue-facing roles only"
"5049","23","Male","Co-Founder","Junior","Deloitte","21","Media","London","Venture Capital;Open Source","Seeking startup or founder connections;Hiring for current or future roles;Looking for internship opportunities","Prefer long-term collaboration opportunities;Not interested in solo consulting gigs"
"5050","53","Non-binary","Business Analyst","","Grab","16","EdTech","Paris","Sales","Seeking startup or founder connections;Understanding investor expectations","Interested in strategy, analytics, or ops roles;Prefer data-driven organizations"
"5051","45","Female","Sales Executive","Senior","Deloitte","920","Media","Berlin","Marketing;Corporate Innovation;SaaS","Hiring for current or future roles;Career transition planning","Prefer companies with established products;Not interested in early unpaid opportunities"
"5052","37","Non-binary","Sales Executive","Junior","Zoho","8","SaaS","Bangalore","Corporate Innovation;Sales;Venture Capital","Learning about industry trends;Exploring freelance or contract work","Not interested in early unpaid opportunities;Prefer companies with established products"
"5053","21","Non-binary","Consultant","Senior","Zoho","225","HealthTech","Dubai","Data Science;Marketing;Content Creation","Seeking startup or founder connections;Exploring partnerships or collaborations;Exploring freelance or contract work","Prefer strategy or transformation work;Not interested in permanent full-time roles"
"5054","25","Male","Data Scientist","Junior","Uber","19","Supply Chain","New York","AI","Looking for internship opportunities;Networking with industry peers;Building professional visibility","Not open to non-technical roles;Prefer teams working with real-world production data"
"5055","34","Female","Investment Analyst","Junior","Deloitte","41","E-commerce","Singapore","Marketing;SaaS;Startup Ecosystem;Venture Capital","Building professional visibility;Hiring for current or future roles","Prefer companies with some market validation"
"5056","57","Male","Marketing Manager","Junior","Snowflake","24","E-commerce","Toronto","Product Management;Startup Ecosystem","Looking for internship opportunities;Hiring for current or future roles;Exploring new job opportunities","Interested in growth or performance marketing roles;Not looking for pure content-only positions"
"5057","58","Male","Investment Analyst","Executive","Bain","84524","Climate Tech","Toronto","Open Source;Product Management","Learning about industry trends;Mentorship and guidance","Prefer companies with some market validation;Not evaluating service-based businesses"
"5058","56","Male","CTO","","Razorpay","8","EdTech","London","SaaS;AI;Data Science;Venture Capital","Seeking startup or founder connections;Looking for internship opportunities","Interested in technical leadership discussions;Not looking for junior engineering roles"
"5059","19","Non-binary","Marketing Manager","Senior","SAP","36","SaaS","Toronto","Product Management","Exploring freelance or contract work;Exploring partnerships or collaborations;Looking for internship opportunities","Interested in growth or performance marketing roles"
"5060","21","Female","Product Manager","Junior","PhonePe","143","FinTech","London","Data Science;Corporate Innovation","Looking for internship opportunities","Not interested in purely sales-driven roles"
"5061","18","Non-binary","Founder","Junior","Razorpay","75281","Supply Chain","Dubai","Venture Capital;Sales;Open Source;Content Creation","Building professional visibility;Exploring new job opportunities;Mentorship and guidance","Looking to connect with experienced operators or advisors"
"5062","41","Male","Student","Mid","ByteDance","","Supply Chain","London","Startup Ecosystem;Product Management;SaaS;AI","Building professional visibility","Prefer learning-focused conversations"
"5063","26","Female","Student","Executive","OpenAI","","FinTech","New York","SaaS","Looking for internship opportunities;Seeking startup or founder connections","Looking only for internships or entry-level roles"
"5064","53","Non-binary","Content Creator","Senior","KPMG","20","AI","Toronto","Content Creation","Hiring for current or future roles;Seeking startup or founder connections;Networking with industry peers","Not interested in full-time corporate roles"
"5065","40","Non-binary","Sales Executive","Junior","ByteDance","11","EdTech","Dubai","Data Science","Looking for internship opportunities;Hiring for current or future roles","Looking for revenue-facing roles only"
"5066","46","Male","CTO","","PwC","413","Climate Tech","New York","Open Source;SaaS;Venture Capital;Data Science","Exploring partnerships or collaborations;Learning about industry trends","Prefer product-scale technical challenges;Not looking for junior engineering roles"
"5067","58","Non-binary","Content Creator","Executive","Meta","271","FinTech","Dubai","Sales;AI","Learning about industry trends;Building professional visibility","Not interested in full-time corporate roles"
"5068","30","Female","Consultant","","Airbnb","38","AI","Bangalore","Open Source;Sales;Data Science;Content Creation","Learning about industry trends","Not interested in permanent full-time roles;Looking for short-term or project-based engagements"
"5069","38","Female","Data Scientist","","EY","44","Climate Tech","Berlin","AI;Venture Capital;SaaS;Content Creation","Exploring new job opportunities;Networking with industry peers;Mentorship and guidance","Not open to non-technical roles;Interested only in data-driven or AI-focused teams"
"5070","19","Male","Content Creator","Mid","Freshworks","418","EdTech","Sydney","Venture Capital;Sales","Building professional visibility","Not interested in full-time corporate roles"
"5071","33","Male","Content Creator","Mid","Nvidia","612","Climate Tech","Dubai","AI","Learning about industry trends","Not interested in full-time corporate roles;Looking for brand collaborations or creator partnerships"
"5072","47","Male","Consultant","Executive","Wipro","815","E-commerce","San Francisco","Content Creation;Open Source;SaaS;Data Science","Networking with industry peers","Looking for short-term or project-based engagements"
"5073","36","Female","Co-Founder","","OpenAI","139","Supply Chain","San Francisco","Open Source;Sales;Data Science;Corporate Innovation","Seeking startup or founder connections;Exploring partnerships or collaborations;Networking with industry peers","Exploring complementary skillset co-founders;Prefer long-term collaboration opportunities"
"5074","51","Female","Content Creator","Junior","Deloitte","21147","EdTech","Berlin","Content Creation","Building professional visibility;Mentorship and guidance","Prefer flexible or remote opportunities;Looking for brand collaborations or creator partnerships"
"5075","23","Non-binary","Consultant","Senior","Salesforce","35","SaaS","London","Open Source;Corporate Innovation","Building professional visibility;Understanding investor expectations","Not interested in permanent full-time roles"
"5076","41","Female","Software Engineer","","Freshworks","220","Supply Chain","London","Content Creation;SaaS;Venture Capital;Product Management","Exploring freelance or contract work;Hiring for current or future roles;Mentorship and guidance","Not looking for sales or marketing opportunities"
"5077","21","Non-binary","Software Engineer","Executive","OpenAI","40","AI","New York","Corporate Innovation;Venture Capital;Product Management;AI","Understanding investor expectations","Not looking for sales or marketing opportunities;Only interested in technical discussions or engineering roles"
"5078","50","Male","Co-Founder","Senior","Apple","133","E-commerce","Berlin","Content Creation;Open Source","Seeking startup or founder connections;Understanding investor expectations;Career transition planning","Not interested in solo consulting gigs;Prefer long-term collaboration opportunities"
"5079","40","Non-binary","Business Analyst","Junior","OpenAI","27","AI","Dubai","Marketing;Sales;Product Management","Building professional visibility;Mentorship and guidance","Not looking for hardcore sales positions"
"5080","47","Female","Software Engineer","Executive","Adobe","31009","FinTech","Dubai","Data Science","Networking with industry peers","Prefer product-focused companies over agencies"
"5081","54","Non-binary","Consultant","Executive","Uber","713","AI","Toronto","Venture Capital;Marketing;Sales","Exploring partnerships or collaborations;Looking for internship opportunities","Not interested in permanent full-time roles;Looking for short-term or project-based engagements"
"5082","34","Non-binary","Investment Analyst","Mid","SAP","396","E-commerce","Toronto","Content Creation","Looking for internship opportunities;Learning about industry trends","Prefer companies with some market validation"
"5083","32","Female","HR Manager","Senior","ByteDance","251","HealthTech","Singapore","Corporate Innovation;Venture Capital;Startup Ecosystem;Product Management","Seeking startup or founder connections","Interested in hiring or employer branding discussions"
"5084","37","Female","Data Scientist","Senior","Intel","27","Media","Dubai","Startup Ecosystem;Data Science;AI;Venture Capital","Hiring for current or future roles;Seeking startup or founder connections;Exploring new job opportunities","Not open to non-technical roles;Interested only in data-driven or AI-focused teams"
"5085","57","Female","Co-Founder","Mid","Flipkart","103","HealthTech","London","Startup Ecosystem","Exploring freelance or contract work;Exploring new job opportunities","Not interested in solo consulting gigs;Prefer long-term collaboration opportunities"
"5086","33","Non-binary","HR Manager","Junior","Nvidia","14","FinTech","Paris","Data Science;Marketing;Startup Ecosystem","Exploring freelance or contract work;Learning about industry trends;Looking for internship opportunities","Interested in hiring or employer branding discussions;Not exploring individual contributor roles"
"5087","51","Female","Marketing Manager","Junior","Grab","227","Supply Chain","Sydney","Product Management;Corporate Innovation;Data Science","Mentorship and guidance;Networking with industry peers;Seeking startup or founder connections","Interested in growth or performance marketing roles"
"5088","32","Non-binary","Business Analyst","","Oracle","10322","Media","Toronto","Sales;SaaS;Corporate Innovation","Hiring for current or future roles;Seeking startup or founder connections","Interested in strategy, analytics, or ops roles"
"5089","42","Male","Investment Analyst","Junior","Snowflake","27","FinTech","Toronto","AI;Data Science;Content Creation;Startup Ecosystem","Seeking startup or founder connections","Not evaluating service-based businesses"
"5090","30","Non-binary","Co-Founder","Senior","McKinsey","646","Climate Tech","London","Data Science;Marketing;Startup Ecosystem;Venture Capital","Career transition planning","Not interested in solo consulting gigs"
"5091","30","Female","Consultant","Senior","Spotify","48","AI","Dubai","SaaS;Marketing","Career transition planning;Looking for internship opportunities;Learning about industry trends","Prefer strategy or transformation work;Looking for short-term or project-based engagements"
"5092","44","Male","Product Manager","Executive","Paytm","16","Climate Tech","Paris","Product Management;SaaS;Startup Ecosystem;Content Creation","Career transition planning;Exploring partnerships or collaborations;Mentorship and guidance","Prefer companies with clear product ownership"
"5093","45","Female","Sales Executive","","IBM","44","HealthTech","London","Corporate Innovation","Exploring new job opportunities;Building professional visibility;Learning about industry trends","Prefer companies with established products;Not interested in early unpaid opportunities"
"5094","51","Non-binary","Product Manager","","Google","34","Supply Chain","Sydney","Startup Ecosystem;AI","Mentorship and guidance;Exploring freelance or contract work","Not interested in purely sales-driven roles"
"5095","29","Female","Sales Executive","Mid","McKinsey","69","AI","New York","Open Source;Content Creation;Sales;Data Science","Networking with industry peers;Career transition planning;Exploring freelance or contract work","Prefer companies with established products"
"5096","36","Male","Content Creator","Mid","Freshworks","174","AI","New York","Corporate Innovation","Exploring freelance or contract work;Exploring partnerships or collaborations","Not interested in full-time corporate roles"
"5097","39","Non-binary","Founder","Mid","Intel","103","Media","Singapore","Open Source;Product Management","Exploring freelance or contract work","Not interested in service or agency partnerships;Looking to connect with experienced operators or advisors"
"5098","28","Male","Co-Founder","Executive","Netflix","118","SaaS","New York","Sales;AI;Marketing","Seeking startup or founder connections","Exploring complementary skillset co-founders"
"5099","54","Female","Co-Founder","Senior","Meta","153","Supply Chain","Singapore","Venture Capital;Product Management;Startup Ecosystem;Marketing","Building professional visibility;Understanding investor expectations","Exploring complementary skillset co-founders"
"5100","20","Male","Marketing Manager","Mid","Zoho","46","Media","Paris","Marketing","Exploring partnerships or collaborations;Looking for internship opportunities","Interested in growth or performance marketing roles"
"5101","32","Female","Consultant","Executive","BCG","14","EdTech","Bangalore","Corporate Innovation;Startup Ecosystem","Exploring partnerships or collaborations;Seeking startup or founder connections;Exploring freelance or contract work","Prefer strategy or transformation work;Looking for short-term or project-based engagements"
"5102","31","Male","Software Engineer","Mid","PhonePe","156","Supply Chain","London","AI","Exploring partnerships or collaborations","Not looking for sales or marketing opportunities;Only interested in technical discussions or engineering roles"
"5103","25","Male","Consultant","Junior","McKinsey","294","E-commerce","Dubai","AI;Content Creation;Venture Capital;Product Management","Hiring for current or future roles","Not interested in permanent full-time roles"
"5104","54","Female","Sales Executive","Senior","Infosys","91","Media","Dubai","Data Science;Corporate Innovation;Venture Capital;Startup Ecosystem","Seeking startup or founder connections;Understanding investor expectations;Looking for internship opportunities","Prefer companies with established products;Looking for revenue-facing roles only"
"5105","19","Female","Consultant","","Netflix","41","HealthTech","London","Data Science;Product Management","Understanding investor expectations;Looking for internship opportunities","Looking for short-term or project-based engagements;Prefer strategy or transformation work"
"5106","56","Female","Business Analyst","Junior","PwC","111","FinTech","Bangalore","Open Source","Building professional visibility","Interested in strategy, analytics, or ops roles;Prefer data-driven organizations"
"5107","55","Non-binary","CTO","Mid","Intel","43","FinTech","Singapore","SaaS;Sales","Exploring new job opportunities;Career transition planning;Exploring partnerships or collaborations","Interested in technical leadership discussions"
"5108","42","Female","Marketing Manager","","Oracle","261","AI","Paris","Marketing;SaaS;Venture Capital","Exploring partnerships or collaborations","Not looking for pure content-only positions"
"5109","53","Non-binary","Content Creator","Mid","Airbnb","32","Supply Chain","Berlin","Sales;Product Management;Corporate Innovation","Looking for internship opportunities","Prefer flexible or remote opportunities"
"5110","31","Male","HR Manager","","Shopee","36","AI","Dubai","Corporate Innovation;Sales;Marketing;Open Source","Exploring freelance or contract work","Interested in hiring or employer branding discussions"
"5111","24","Non-binary","Business Analyst","Senior","Shopee","841","Supply Chain","Paris","Data Science","Seeking startup or founder connections","Not looking for hardcore sales positions;Interested in strategy, analytics, or ops roles"
"5112","20","Non-binary","Founder","Junior","EY","135","Climate Tech","Dubai","AI;Open Source;Startup Ecosystem","Exploring freelance or contract work;Networking with industry peers","Looking to connect with experienced operators or advisors"
"5113","31","Female","Product Manager","Mid","Salesforce","205","Supply Chain","Singapore","Venture Capital;Marketing;Sales","Exploring partnerships or collaborations;Learning about industry trends","Not interested in purely sales-driven roles;Prefer companies with clear product ownership"
"5114","27","Non-binary","Software Engineer","Junior","Oracle","835","Media","Bangalore","Corporate Innovation;Content Creation;AI","Looking for internship opportunities;Seeking startup or founder connections","Not looking for sales or marketing opportunities;Prefer product-focused companies over agencies"
"5115","32","Male","CTO","","Oracle","132","AI","Bangalore","Product Management;Marketing;Startup Ecosystem","Learning about industry trends","Not looking for junior engineering roles;Prefer product-scale technical challenges"
"5116","39","Male","Founder","Executive","BCG","39","AI","Paris","Content Creation;AI;Sales;Open Source","Exploring freelance or contract work;Networking with industry peers","Looking to connect with experienced operators or advisors"
"5117","22","Non-binary","Software Engineer","Mid","Databricks","543","HealthTech","Dubai","Product Management;Content Creation;Startup Ecosystem;Open Source","Career transition planning;Seeking startup or founder connections","Not looking for sales or marketing opportunities"
"5118","32","Non-binary","Software Engineer","Executive","Amazon","168","Climate Tech","Singapore","AI;Sales","Exploring partnerships or collaborations","Prefer product-focused companies over agencies;Not looking for sales or marketing opportunities"
"5119","51","Female","Co-Founder","","Oracle","534","Supply Chain","Singapore","Data Science;Content Creation;Open Source","Hiring for current or future roles;Understanding investor expectations;Exploring partnerships or collaborations","Exploring complementary skillset co-founders;Not interested in solo consulting gigs"
"5120","45","Non-binary","CTO","Senior","McKinsey","233","FinTech","Singapore","SaaS","Exploring partnerships or collaborations","Prefer product-scale technical challenges"
"5121","54","Non-binary","Founder","Executive","Tokopedia","30","EdTech","Berlin","Data Science;AI","Networking with industry peers","Prefer discussions with decision-makers only"
"5122","43","Non-binary","Consultant","Executive","Atlassian","14146","Climate Tech","New York","Sales","Understanding investor expectations;Seeking startup or founder connections","Not interested in permanent full-time roles"
"5123","41","Non-binary","Founder","Senior","Grab","229","EdTech","Berlin","SaaS;Venture Capital;Startup Ecosystem;Corporate Innovation","Seeking startup or founder connections;Hiring for current or future roles;Learning about industry trends","Prefer discussions with decision-makers only"
"5124","36","Non-binary","Sales Executive","Mid","SAP","6","Supply Chain","New York","Product Management;AI","Exploring freelance or contract work","Looking for revenue-facing roles only;Prefer companies with established products"
"5125","34","Male","Data Scientist","Junior","SAP","9","EdTech","Singapore","Data Science","Exploring new job opportunities;Exploring freelance or contract work","Prefer teams working with real-world production data"
"5126","56","Female","HR Manager","Senior","Shopee","22","Supply Chain","Sydney","Content Creation;Product Management;Sales;Marketing","Career transition planning;Exploring new job opportunities;Looking for internship opportunities","Not exploring individual contributor roles;Prefer companies with growing teams"
"5127","37","Female","Consultant","","Spotify","39","SaaS","New York","SaaS","Exploring new job opportunities;Career transition planning;Learning about industry trends","Looking for short-term or project-based engagements"
"5128","19","Non-binary","Software Engineer","Executive","Salesforce","846","FinTech","Bangalore","Sales;Data Science;Startup Ecosystem;AI","Building professional visibility;Career transition planning","Prefer product-focused companies over agencies;Only interested in technical discussions or engineering roles"
"5129","55","Non-binary","CTO","Executive","Databricks","65","Media","Dubai","Data Science;SaaS","Exploring freelance or contract work","Not looking for junior engineering roles"
"5130","56","Non-binary","CTO","","Uber","12","EdTech","Berlin","Open Source","Looking for internship opportunities","Interested in technical leadership discussions;Not looking for junior engineering roles"
"5131","33","Male","Investment Analyst","Junior","Accenture","356","FinTech","Singapore","Product Management;SaaS","Understanding investor expectations","Prefer companies with some market validation;Interested only in scalable, venture-backable startups"
"5132","29","Non-binary","Data Scientist","Executive","Amazon","460","FinTech","New York","Marketing","Career transition planning;Building professional visibility;Mentorship and guidance","Prefer teams working with real-world production data;Not open to non-technical roles"
"5133","26","Female","Sales Executive","","Wipro","32","Supply Chain","San Francisco","Venture Capital;AI;Product Management","Exploring freelance or contract work","Looking for revenue-facing roles only;Not interested in early unpaid opportunities"
"5134","33","Female","CTO","Senior","SAP","6","AI","Berlin","Marketing;Startup Ecosystem","Hiring for current or future roles;Exploring new job opportunities;Exploring freelance or contract work","Not looking for junior engineering roles"
"5135","37","Male","HR Manager","Junior","Uber","28568","FinTech","Sydney","AI;Content Creation;Open Source","Career transition planning;Looking for internship opportunities;Seeking startup or founder connections","Prefer companies with growing teams;Interested in hiring or employer branding discussions"
"5136","22","Female","Investment Analyst","Mid","Infosys","698","FinTech","San Francisco","Open Source;Startup Ecosystem","Seeking startup or founder connections;Exploring freelance or contract work;Exploring partnerships or collaborations","Interested only in scalable, venture-backable startups;Not evaluating service-based businesses"
"5137","29","Non-binary","HR Manager","","Razorpay","18","Media","Paris","Sales;SaaS;AI","Exploring partnerships or collaborations;Networking with industry peers","Interested in hiring or employer branding discussions;Prefer companies with growing teams"
"5138","49","Male","Founder","","Amazon","112877","Supply Chain","Sydney","Marketing;Product Management","Learning about industry trends","Not interested in service or agency partnerships"
"5139","35","Non-binary","Software Engineer","Executive","Intel","115","Supply Chain","Sydney","Open Source;Data Science","Exploring freelance or contract work;Mentorship and guidance","Prefer product-focused companies over agencies"
"5140","33","Female","Marketing Manager","Junior","Databricks","98","AI","London","Venture Capital;AI;SaaS","Learning about industry trends","Prefer B2C or high-growth startups;Interested in growth or performance marketing roles"
"5141","51","Female","Sales Executive","Mid","Netflix","502","Supply Chain","Bangalore","Corporate Innovation","Networking with industry peers","Not interested in early unpaid opportunities"
"5142","34","Male","Content Creator","Executive","Freshworks","45","Media","Bangalore","Product Management;Data Science","Exploring partnerships or collaborations;Building professional visibility;Mentorship and guidance","Looking for brand collaborations or creator partnerships"
"5143","19","Female","Consultant","Mid","Shopee","33832","EdTech","Toronto","Venture Capital;Content Creation;Startup Ecosystem","Learning about industry trends;Looking for internship opportunities;Networking with industry peers","Prefer strategy or transformation work"
"5144","34","Male","Software Engineer","Senior","Atlassian","40","EdTech","Paris","Content Creation","Learning about industry trends","Prefer product-focused companies over agencies;Only interested in technical discussions or engineering roles"
"5145","49","Non-binary","Business Analyst","Executive","Meta","100534","HealthTech","Paris","AI","Learning about industry trends;Career transition planning","Prefer data-driven organizations"
"5146","57","Non-binary","Product Manager","Mid","Shopify","26","Media","Bangalore","Product Management","Looking for internship opportunities","Not interested in purely sales-driven roles;Looking for product-led organizations"
"5147","35","Non-binary","Software Engineer","Executive","Zomato","197","EdTech","Toronto","Sales;Open Source;Data Science","Building professional visibility;Exploring freelance or contract work","Only interested in technical discussions or engineering roles"
